"Selitveno gibanje prebivalstva po: STATISTIÈNA REGIJA, LETO , MERITVE"

"SLOVENIJA"
" ";"1995"
" ";" ";"Selitveni prirast s tujino - Skupaj";-82
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-25
" ";"2011"
" ";" ";"Selitveni prirast s tujino - Skupaj";18
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";187
" ";"2012"
" ";" ";"Selitveni prirast s tujino - Skupaj";-651
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-30
" ";"2013"
" ";" ";"Selitveni prirast s tujino - Skupaj";-350
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-205
" ";"2014"
" ";" ";"Selitveni prirast s tujino - Skupaj";-131
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";31
" ";"2015"
" ";" ";"Selitveni prirast s tujino - Skupaj";-280
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";37
" ";"2016"
" ";" ";"Selitveni prirast s tujino - Skupaj";-287
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";92
" ";"2017"
" ";" ";"Selitveni prirast s tujino - Skupaj";-369
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-3
"Podravska"
" ";"1995"
" ";" ";"Selitveni prirast s tujino - Skupaj";191
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-94
" ";"1996"
" ";" ";"Selitveni prirast s tujino - Skupaj";136
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-32
" ";"1997"
" ";" ";"Selitveni prirast s tujino - Skupaj";49
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-101
" ";"1998"
" ";" ";"Selitveni prirast s tujino - Skupaj";-40
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";24
" ";"1999"
" ";" ";"Selitveni prirast s tujino - Skupaj";158
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";22
" ";"2000"
" ";" ";"Selitveni prirast s tujino - Skupaj";375
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";30
" ";"2001"
" ";" ";"Selitveni prirast s tujino - Skupaj";618
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";-38
" ";"2002"
" ";" ";"Selitveni prirast s tujino - Skupaj";160
" ";" ";"Selitveni prirast med statistiènimi regijami - Skupaj";2
" ";"2003"
" ";" ";"Selitveni prirast s tujino - Skupaj";217
