"","regija","leto","starostna skupina","stevilo"
"137","Pomurska",2017,"15-64 let",76376
"138","Pomurska",2017,"65 + let",23852
"139","Podravska",1995,"0-14 let",56309
"140","Podravska",1995,"15-64 let",229709
"141","Podravska",1995,"65 + let",39118
"142","Podravska",1996,"0-14 let",54871
"143","Podravska",1996,"15-64 let",226025
"144","Podravska",1996,"65 + let",40182
"145","Podravska",1997,"0-14 let",53210
"146","Podravska",1997,"15-64 let",225843
"147","Podravska",1997,"65 + let",41308
"148","Podravska",1998,"0-14 let",51432
"149","Podravska",1998,"15-64 let",226061
"150","Podravska",1998,"65 + let",42348
"151","Podravska",1999,"0-14 let",49995
"152","Podravska",1999,"15-64 let",225748
"153","Podravska",1999,"65 + let",43529
"154","Podravska",2000,"0-14 let",48487
"155","Podravska",2000,"15-64 let",226456
"156","Podravska",2000,"65 + let",44662
"157","Podravska",2001,"0-14 let",47224
"158","Podravska",2001,"15-64 let",226880
"159","Podravska",2001,"65 + let",45613
"160","Podravska",2002,"0-14 let",46102
"161","Podravska",2002,"15-64 let",227071
"162","Podravska",2002,"65 + let",46905
"163","Podravska",2003,"0-14 let",44953
"164","Podravska",2003,"15-64 let",226868
"165","Podravska",2003,"65 + let",47983
"166","Podravska",2004,"0-14 let",43841
"167","Podravska",2004,"15-64 let",226857
"168","Podravska",2004,"65 + let",48728
"169","Podravska",2005,"0-14 let",43040
"170","Podravska",2005,"15-64 let",226477
"171","Podravska",2005,"65 + let",49597
"172","Podravska",2006,"0-14 let",42464
"173","Podravska",2006,"15-64 let",226261
"174","Podravska",2006,"65 + let",50510
"175","Podravska",2007,"0-14 let",41993
"176","Podravska",2007,"15-64 let",226240
"177","Podravska",2007,"65 + let",51473
"178","Podravska",2008,"0-14 let",41591
"179","Podravska",2008,"15-64 let",227058
"180","Podravska",2008,"65 + let",53132
"181","Podravska",2009,"0-14 let",41809
"182","Podravska",2009,"15-64 let",226281
"183","Podravska",2009,"65 + let",54810
"184","Podravska",2010,"0-14 let",41936
"185","Podravska",2010,"15-64 let",225546
"186","Podravska",2010,"65 + let",55861
"187","Podravska",2011,"0-14 let",42117
"188","Podravska",2011,"15-64 let",224845
"189","Podravska",2011,"65 + let",56157
"190","Podravska",2012,"0-14 let",42205
"191","Podravska",2012,"15-64 let",224489
"192","Podravska",2012,"65 + let",56840
"193","Podravska",2013,"0-14 let",42596
"194","Podravska",2013,"15-64 let",222863
"195","Podravska",2013,"65 + let",57779
"196","Podravska",2014,"0-14 let",42870
"197","Podravska",2014,"15-64 let",221525
"198","Podravska",2014,"65 + let",58933
"199","Podravska",2015,"0-14 let",43387
"200","Podravska",2015,"15-64 let",219664
"201","Podravska",2015,"65 + let",60305
"202","Podravska",2016,"0-14 let",43630
"203","Podravska",2016,"15-64 let",217125
"204","Podravska",2016,"65 + let",61798
"205","Podravska",2017,"0-14 let",43961
"206","Podravska",2017,"15-64 let",214777
"207","Podravska",2017,"65 + let",63305
"208","Koro<U+009A>ka",1995,"0-14 let",14539
"209","Koro<U+009A>ka",1995,"15-64 let",52165
"210","Koro<U+009A>ka",1995,"65 + let",7653
"211","Koro<U+009A>ka",1996,"0-14 let",14132
"212","Koro<U+009A>ka",1996,"15-64 let",52086
"213","Koro<U+009A>ka",1996,"65 + let",7948
"214","Koro<U+009A>ka",1997,"0-14 let",13633
"215","Koro<U+009A>ka",1997,"15-64 let",52113
"216","Koro<U+009A>ka",1997,"65 + let",8219
"217","Koro<U+009A>ka",1998,"0-14 let",13285
"218","Koro<U+009A>ka",1998,"15-64 let",52142
"219","Koro<U+009A>ka",1998,"65 + let",8520
"220","Koro<U+009A>ka",1999,"0-14 let",12941
"221","Koro<U+009A>ka",1999,"15-64 let",52218
"222","Koro<U+009A>ka",1999,"65 + let",8788
"223","Koro<U+009A>ka",2000,"0-14 let",12597
"224","Koro<U+009A>ka",2000,"15-64 let",52365
"225","Koro<U+009A>ka",2000,"65 + let",9085
"226","Koro<U+009A>ka",2001,"0-14 let",12247
"227","Koro<U+009A>ka",2001,"15-64 let",52480
"228","Koro<U+009A>ka",2001,"65 + let",9348
"229","Koro<U+009A>ka",2002,"0-14 let",11878
"230","Koro<U+009A>ka",2002,"15-64 let",52561
"231","Koro<U+009A>ka",2002,"65 + let",9588
"232","Koro<U+009A>ka",2003,"0-14 let",11486
"233","Koro<U+009A>ka",2003,"15-64 let",52640
"234","Koro<U+009A>ka",2003,"65 + let",9775
"235","Koro<U+009A>ka",2004,"0-14 let",11104
"236","Koro<U+009A>ka",2004,"15-64 let",52728
"237","Koro<U+009A>ka",2004,"65 + let",10028
"238","Koro<U+009A>ka",2005,"0-14 let",10884
"239","Koro<U+009A>ka",2005,"15-64 let",52692
"240","Koro<U+009A>ka",2005,"65 + let",10263
"241","Koro<U+009A>ka",2006,"0-14 let",10609
"242","Koro<U+009A>ka",2006,"15-64 let",52635
"243","Koro<U+009A>ka",2006,"65 + let",10510
"244","Koro<U+009A>ka",2007,"0-14 let",10432
"245","Koro<U+009A>ka",2007,"15-64 let",52412
"246","Koro<U+009A>ka",2007,"65 + let",10775
"247","Koro<U+009A>ka",2008,"0-14 let",10329
"248","Koro<U+009A>ka",2008,"15-64 let",52353
"249","Koro<U+009A>ka",2008,"65 + let",11032
"250","Koro<U+009A>ka",2009,"0-14 let",10304
"251","Koro<U+009A>ka",2009,"15-64 let",50747
"252","Koro<U+009A>ka",2009,"65 + let",11430
"253","Koro<U+009A>ka",2010,"0-14 let",10358
"254","Koro<U+009A>ka",2010,"15-64 let",50749
"255","Koro<U+009A>ka",2010,"65 + let",11705
"256","Koro<U+009A>ka",2011,"0-14 let",10299
"257","Koro<U+009A>ka",2011,"15-64 let",50399
"258","Koro<U+009A>ka",2011,"65 + let",11796
"259","Koro<U+009A>ka",2012,"0-14 let",10302
"260","Koro<U+009A>ka",2012,"15-64 let",50112
"261","Koro<U+009A>ka",2012,"65 + let",11950
"262","Koro<U+009A>ka",2013,"0-14 let",10297
"263","Koro<U+009A>ka",2013,"15-64 let",49608
"264","Koro<U+009A>ka",2013,"65 + let",12195
"265","Koro<U+009A>ka",2014,"0-14 let",10186
"266","Koro<U+009A>ka",2014,"15-64 let",48912
"267","Koro<U+009A>ka",2014,"65 + let",12448
"268","Koro<U+009A>ka",2015,"0-14 let",10169
"269","Koro<U+009A>ka",2015,"15-64 let",48392
"270","Koro<U+009A>ka",2015,"65 + let",12742
"271","Koro<U+009A>ka",2016,"0-14 let",10096
"272","Koro<U+009A>ka",2016,"15-64 let",47868
"273","Koro<U+009A>ka",2016,"65 + let",13076
"274","Koro<U+009A>ka",2017,"0-14 let",10136
"275","Koro<U+009A>ka",2017,"15-64 let",47202
"276","Koro<U+009A>ka",2017,"65 + let",13423
"277","Savinjska",1995,"0-14 let",49512
"278","Savinjska",1995,"15-64 let",179066
"279","Savinjska",1995,"65 + let",29010
"280","Savinjska",1996,"0-14 let",48262
"281","Savinjska",1996,"15-64 let",178271
"282","Savinjska",1996,"65 + let",30041
"283","Savinjska",1997,"0-14 let",46569
"284","Savinjska",1997,"15-64 let",178983
"285","Savinjska",1997,"65 + let",30904
"286","Savinjska",1998,"0-14 let",45155
"287","Savinjska",1998,"15-64 let",179341
"288","Savinjska",1998,"65 + let",31662
"289","Savinjska",1999,"0-14 let",43929
"290","Savinjska",1999,"15-64 let",178727
