"","regija","leto","starostna skupina","stevilo"
"586","Osrednjeslovenska",2006,"0-14 let",72686
"587","Osrednjeslovenska",2006,"15-64 let",349781
"588","Osrednjeslovenska",2006,"65 + let",77554
"589","Osrednjeslovenska",2007,"0-14 let",72796
"590","Osrednjeslovenska",2007,"15-64 let",351564
"591","Osrednjeslovenska",2007,"65 + let",79575
"592","Osrednjeslovenska",2008,"0-14 let",73556
"593","Osrednjeslovenska",2008,"15-64 let",353551
"594","Osrednjeslovenska",2008,"65 + let",81500
"595","Osrednjeslovenska",2009,"0-14 let",75610
"596","Osrednjeslovenska",2009,"15-64 let",363859
"597","Osrednjeslovenska",2009,"65 + let",82496
"598","Osrednjeslovenska",2010,"0-14 let",77443
"599","Osrednjeslovenska",2010,"15-64 let",368655
"600","Osrednjeslovenska",2010,"65 + let",83548
"601","Osrednjeslovenska",2011,"0-14 let",79388
"602","Osrednjeslovenska",2011,"15-64 let",369864
"603","Osrednjeslovenska",2011,"65 + let",83961
"604","Osrednjeslovenska",2012,"0-14 let",81099
"605","Osrednjeslovenska",2012,"15-64 let",369538
"606","Osrednjeslovenska",2012,"65 + let",85847
"607","Osrednjeslovenska",2013,"0-14 let",82955
"608","Osrednjeslovenska",2013,"15-64 let",370871
"609","Osrednjeslovenska",2013,"65 + let",87892
"610","Osrednjeslovenska",2014,"0-14 let",84414
"611","Osrednjeslovenska",2014,"15-64 let",371801
"612","Osrednjeslovenska",2014,"65 + let",90099
"613","Osrednjeslovenska",2015,"0-14 let",83652
"614","Osrednjeslovenska",2015,"15-64 let",360653
"615","Osrednjeslovenska",2015,"65 + let",90213
"616","Osrednjeslovenska",2016,"0-14 let",84618
"617","Osrednjeslovenska",2016,"15-64 let",359336
"618","Osrednjeslovenska",2016,"65 + let",93069
"619","Osrednjeslovenska",2017,"0-14 let",85644
"620","Osrednjeslovenska",2017,"15-64 let",358268
"621","Osrednjeslovenska",2017,"65 + let",95760
"622","Gorenjska",1995,"0-14 let",38284
"623","Gorenjska",1995,"15-64 let",134451
"624","Gorenjska",1995,"65 + let",22072
"625","Gorenjska",1996,"0-14 let",37567
"626","Gorenjska",1996,"15-64 let",134443
"627","Gorenjska",1996,"65 + let",23177
"628","Gorenjska",1997,"0-14 let",36513
"629","Gorenjska",1997,"15-64 let",135012
"630","Gorenjska",1997,"65 + let",23847
"631","Gorenjska",1998,"0-14 let",35595
"632","Gorenjska",1998,"15-64 let",135299
"633","Gorenjska",1998,"65 + let",24744
"634","Gorenjska",1999,"0-14 let",34563
"635","Gorenjska",1999,"15-64 let",135215
"636","Gorenjska",1999,"65 + let",25433
"637","Gorenjska",2000,"0-14 let",33707
"638","Gorenjska",2000,"15-64 let",136639
"639","Gorenjska",2000,"65 + let",26131
"640","Gorenjska",2001,"0-14 let",33072
"641","Gorenjska",2001,"15-64 let",136693
"642","Gorenjska",2001,"65 + let",26936
"643","Gorenjska",2002,"0-14 let",32426
"644","Gorenjska",2002,"15-64 let",137091
"645","Gorenjska",2002,"65 + let",27760
"646","Gorenjska",2003,"0-14 let",31714
"647","Gorenjska",2003,"15-64 let",137370
"648","Gorenjska",2003,"65 + let",28564
"649","Gorenjska",2004,"0-14 let",30868
"650","Gorenjska",2004,"15-64 let",137697
"651","Gorenjska",2004,"65 + let",29269
"652","Gorenjska",2005,"0-14 let",30485
"653","Gorenjska",2005,"15-64 let",137775
"654","Gorenjska",2005,"65 + let",30082
"655","Gorenjska",2006,"0-14 let",30062
"656","Gorenjska",2006,"15-64 let",138107
"657","Gorenjska",2006,"65 + let",30916
"658","Gorenjska",2007,"0-14 let",29925
"659","Gorenjska",2007,"15-64 let",138119
"660","Gorenjska",2007,"65 + let",31858
"661","Gorenjska",2008,"0-14 let",29931
"662","Gorenjska",2008,"15-64 let",138807
"663","Gorenjska",2008,"65 + let",32516
"664","Gorenjska",2009,"0-14 let",30256
"665","Gorenjska",2009,"15-64 let",138366
"666","Gorenjska",2009,"65 + let",33157
"667","Gorenjska",2010,"0-14 let",30576
"668","Gorenjska",2010,"15-64 let",138598
"669","Gorenjska",2010,"65 + let",33729
"670","Gorenjska",2011,"0-14 let",31033
"671","Gorenjska",2011,"15-64 let",138607
"672","Gorenjska",2011,"65 + let",33787
"673","Gorenjska",2012,"0-14 let",31335
"674","Gorenjska",2012,"15-64 let",138251
"675","Gorenjska",2012,"65 + let",34471
"676","Gorenjska",2013,"0-14 let",31636
"677","Gorenjska",2013,"15-64 let",137013
"678","Gorenjska",2013,"65 + let",35335
"679","Gorenjska",2014,"0-14 let",31914
"680","Gorenjska",2014,"15-64 let",135930
"681","Gorenjska",2014,"65 + let",36050
"682","Gorenjska",2015,"0-14 let",32080
"683","Gorenjska",2015,"15-64 let",134887
"684","Gorenjska",2015,"65 + let",36883
"685","Gorenjska",2016,"0-14 let",32221
"686","Gorenjska",2016,"15-64 let",133702
"687","Gorenjska",2016,"65 + let",37915
"688","Gorenjska",2017,"0-14 let",32369
"689","Gorenjska",2017,"15-64 let",132538
"690","Gorenjska",2017,"65 + let",38893
"691","Primorsko-notranjska",1995,"0-14 let",9059
"692","Primorsko-notranjska",1995,"15-64 let",33293
"693","Primorsko-notranjska",1995,"65 + let",7098
"694","Primorsko-notranjska",1996,"0-14 let",9138
"695","Primorsko-notranjska",1996,"15-64 let",34225
"696","Primorsko-notranjska",1996,"65 + let",7374
"697","Primorsko-notranjska",1997,"0-14 let",8765
"698","Primorsko-notranjska",1997,"15-64 let",34119
"699","Primorsko-notranjska",1997,"65 + let",7459
"700","Primorsko-notranjska",1998,"0-14 let",8451
"701","Primorsko-notranjska",1998,"15-64 let",34297
"702","Primorsko-notranjska",1998,"65 + let",7617
"703","Primorsko-notranjska",1999,"0-14 let",8156
"704","Primorsko-notranjska",1999,"15-64 let",34309
"705","Primorsko-notranjska",1999,"65 + let",7675
"706","Primorsko-notranjska",2000,"0-14 let",8042
"707","Primorsko-notranjska",2000,"15-64 let",34667
"708","Primorsko-notranjska",2000,"65 + let",7835
"709","Primorsko-notranjska",2001,"0-14 let",7799
"710","Primorsko-notranjska",2001,"15-64 let",34885
"711","Primorsko-notranjska",2001,"65 + let",7901
"712","Primorsko-notranjska",2002,"0-14 let",7641
"713","Primorsko-notranjska",2002,"15-64 let",35065
"714","Primorsko-notranjska",2002,"65 + let",8054
"715","Primorsko-notranjska",2003,"0-14 let",7416
"716","Primorsko-notranjska",2003,"15-64 let",35249
"717","Primorsko-notranjska",2003,"65 + let",8110
"718","Primorsko-notranjska",2004,"0-14 let",7281
"719","Primorsko-notranjska",2004,"15-64 let",35434
"720","Primorsko-notranjska",2004,"65 + let",8198
"721","Primorsko-notranjska",2005,"0-14 let",7212
"722","Primorsko-notranjska",2005,"15-64 let",35447
"723","Primorsko-notranjska",2005,"65 + let",8373
"724","Primorsko-notranjska",2006,"0-14 let",7130
"725","Primorsko-notranjska",2006,"15-64 let",35491
"726","Primorsko-notranjska",2006,"65 + let",8552
"727","Primorsko-notranjska",2007,"0-14 let",7056
"728","Primorsko-notranjska",2007,"15-64 let",35705
"729","Primorsko-notranjska",2007,"65 + let",8722
"730","Primorsko-notranjska",2008,"0-14 let",7093
"731","Primorsko-notranjska",2008,"15-64 let",36176
"732","Primorsko-notranjska",2008,"65 + let",8814
"733","Primorsko-notranjska",2009,"0-14 let",7196
"734","Primorsko-notranjska",2009,"15-64 let",35557
"735","Primorsko-notranjska",2009,"65 + let",8975
"736","Primorsko-notranjska",2010,"0-14 let",7268
"737","Primorsko-notranjska",2010,"15-64 let",35994
"738","Primorsko-notranjska",2010,"65 + let",8955
"739","Primorsko-notranjska",2011,"0-14 let",7399
"740","Primorsko-notranjska",2011,"15-64 let",36035
"741","Primorsko-notranjska",2011,"65 + let",8853
"742","Primorsko-notranjska",2012,"0-14 let",7487
"743","Primorsko-notranjska",2012,"15-64 let",35867
"744","Primorsko-notranjska",2012,"65 + let",9033
"745","Primorsko-notranjska",2013,"0-14 let",7620
"746","Primorsko-notranjska",2013,"15-64 let",35526
"747","Primorsko-notranjska",2013,"65 + let",9236
"748","Primorsko-notranjska",2014,"0-14 let",7804
"749","Primorsko-notranjska",2014,"15-64 let",35156
"750","Primorsko-notranjska",2014,"65 + let",9489
"751","Primorsko-notranjska",2015,"0-14 let",7825
"752","Primorsko-notranjska",2015,"15-64 let",34935
"753","Primorsko-notranjska",2015,"65 + let",9778
"754","Primorsko-notranjska",2016,"0-14 let",7901
"755","Primorsko-notranjska",2016,"15-64 let",34599
"756","Primorsko-notranjska",2016,"65 + let",10023
"757","Primorsko-notranjska",2017,"0-14 let",7974
"758","Primorsko-notranjska",2017,"15-64 let",34314
"759","Primorsko-notranjska",2017,"65 + let",10294
"760","Gori<U+009A>ka",1995,"0-14 let",21156
"761","Gori<U+009A>ka",1995,"15-64 let",81426
"762","Gori<U+009A>ka",1995,"65 + let",17246
"763","Gori<U+009A>ka",1996,"0-14 let",20659
"764","Gori<U+009A>ka",1996,"15-64 let",82485
"765","Gori<U+009A>ka",1996,"65 + let",17816
"766","Gori<U+009A>ka",1997,"0-14 let",19920
"767","Gori<U+009A>ka",1997,"15-64 let",82770
"768","Gori<U+009A>ka",1997,"65 + let",18172
"769","Gori<U+009A>ka",1998,"0-14 let",19299
"770","Gori<U+009A>ka",1998,"15-64 let",82509
"771","Gori<U+009A>ka",1998,"65 + let",18478
"772","Gori<U+009A>ka",1999,"0-14 let",18825
"773","Gori<U+009A>ka",1999,"15-64 let",82212
"774","Gori<U+009A>ka",1999,"65 + let",18622
"775","Gori<U+009A>ka",2000,"0-14 let",18389
"776","Gori<U+009A>ka",2000,"15-64 let",83018
"777","Gori<U+009A>ka",2000,"65 + let",19037
"778","Gori<U+009A>ka",2001,"0-14 let",18034
"779","Gori<U+009A>ka",2001,"15-64 let",83041
"780","Gori<U+009A>ka",2001,"65 + let",19239
"781","Gori<U+009A>ka",2002,"0-14 let",17705
"782","Gori<U+009A>ka",2002,"15-64 let",83212
"783","Gori<U+009A>ka",2002,"65 + let",19496
"784","Gori<U+009A>ka",2003,"0-14 let",17250
"785","Gori<U+009A>ka",2003,"15-64 let",82870
"786","Gori<U+009A>ka",2003,"65 + let",19818
"787","Gori<U+009A>ka",2004,"0-14 let",16759
"788","Gori<U+009A>ka",2004,"15-64 let",82880
"789","Gori<U+009A>ka",2004,"65 + let",20103
"790","Gori<U+009A>ka",2005,"0-14 let",16466
"791","Gori<U+009A>ka",2005,"15-64 let",82614
"792","Gori<U+009A>ka",2005,"65 + let",20542
"793","Gori<U+009A>ka",2006,"0-14 let",16270
"794","Gori<U+009A>ka",2006,"15-64 let",82477
"795","Gori<U+009A>ka",2006,"65 + let",20881
"796","Gori<U+009A>ka",2007,"0-14 let",16015
"797","Gori<U+009A>ka",2007,"15-64 let",82166
"798","Gori<U+009A>ka",2007,"65 + let",21296
"799","Gori<U+009A>ka",2008,"0-14 let",15989
"800","Gori<U+009A>ka",2008,"15-64 let",82769
"801","Gori<U+009A>ka",2008,"65 + let",21571
"802","Gori<U+009A>ka",2009,"0-14 let",16023
"803","Gori<U+009A>ka",2009,"15-64 let",80743
"804","Gori<U+009A>ka",2009,"65 + let",21767
"805","Gori<U+009A>ka",2010,"0-14 let",16201
"806","Gori<U+009A>ka",2010,"15-64 let",81359
"807","Gori<U+009A>ka",2010,"65 + let",21520
"808","Gori<U+009A>ka",2011,"0-14 let",16459
"809","Gori<U+009A>ka",2011,"15-64 let",81435
"810","Gori<U+009A>ka",2011,"65 + let",21252
"811","Gori<U+009A>ka",2012,"0-14 let",16696
"812","Gori<U+009A>ka",2012,"15-64 let",80801
"813","Gori<U+009A>ka",2012,"65 + let",21739
"814","Gori<U+009A>ka",2013,"0-14 let",16930
"815","Gori<U+009A>ka",2013,"15-64 let",79928
"816","Gori<U+009A>ka",2013,"65 + let",22144
"817","Gori<U+009A>ka",2014,"0-14 let",17089
"818","Gori<U+009A>ka",2014,"15-64 let",78548
"819","Gori<U+009A>ka",2014,"65 + let",22737
"820","Gori<U+009A>ka",2015,"0-14 let",17219
"821","Gori<U+009A>ka",2015,"15-64 let",77575
"822","Gori<U+009A>ka",2015,"65 + let",23394
"823","Gori<U+009A>ka",2016,"0-14 let",17254
"824","Gori<U+009A>ka",2016,"15-64 let",76634
"825","Gori<U+009A>ka",2016,"65 + let",24176
"826","Gori<U+009A>ka",2017,"0-14 let",17291
"827","Gori<U+009A>ka",2017,"15-64 let",75594
"828","Gori<U+009A>ka",2017,"65 + let",24862
"829","Obalno-kra<U+009A>ka",1995,"0-14 let",17025
"830","Obalno-kra<U+009A>ka",1995,"15-64 let",71261
"831","Obalno-kra<U+009A>ka",1995,"65 + let",13349
"832","Obalno-kra<U+009A>ka",1996,"0-14 let",16595
"833","Obalno-kra<U+009A>ka",1996,"15-64 let",72625
"834","Obalno-kra<U+009A>ka",1996,"65 + let",14028
"835","Obalno-kra<U+009A>ka",1997,"0-14 let",15896
"836","Obalno-kra<U+009A>ka",1997,"15-64 let",72807
"837","Obalno-kra<U+009A>ka",1997,"65 + let",14324
"838","Obalno-kra<U+009A>ka",1998,"0-14 let",15279
"839","Obalno-kra<U+009A>ka",1998,"15-64 let",72848
"840","Obalno-kra<U+009A>ka",1998,"65 + let",14700
"841","Obalno-kra<U+009A>ka",1999,"0-14 let",14759
"842","Obalno-kra<U+009A>ka",1999,"15-64 let",72589
"843","Obalno-kra<U+009A>ka",1999,"65 + let",15070
"844","Obalno-kra<U+009A>ka",2000,"0-14 let",14352
"845","Obalno-kra<U+009A>ka",2000,"15-64 let",73394
"846","Obalno-kra<U+009A>ka",2000,"65 + let",15582
"847","Obalno-kra<U+009A>ka",2001,"0-14 let",14088
"848","Obalno-kra<U+009A>ka",2001,"15-64 let",73739
"849","Obalno-kra<U+009A>ka",2001,"65 + let",15990
"850","Obalno-kra<U+009A>ka",2002,"0-14 let",13789
"851","Obalno-kra<U+009A>ka",2002,"15-64 let",74085
"852","Obalno-kra<U+009A>ka",2002,"65 + let",16344
"853","Obalno-kra<U+009A>ka",2003,"0-14 let",13405
"854","Obalno-kra<U+009A>ka",2003,"15-64 let",74484
"855","Obalno-kra<U+009A>ka",2003,"65 + let",16670
"856","Obalno-kra<U+009A>ka",2004,"0-14 let",13072
"857","Obalno-kra<U+009A>ka",2004,"15-64 let",74891
"858","Obalno-kra<U+009A>ka",2004,"65 + let",17046
"859","Obalno-kra<U+009A>ka",2005,"0-14 let",12811
"860","Obalno-kra<U+009A>ka",2005,"15-64 let",74724
"861","Obalno-kra<U+009A>ka",2005,"65 + let",17494
"862","Obalno-kra<U+009A>ka",2006,"0-14 let",12628
"863","Obalno-kra<U+009A>ka",2006,"15-64 let",75102
"864","Obalno-kra<U+009A>ka",2006,"65 + let",17902
"865","Obalno-kra<U+009A>ka",2007,"0-14 let",12568
"866","Obalno-kra<U+009A>ka",2007,"15-64 let",75252
"867","Obalno-kra<U+009A>ka",2007,"65 + let",18342
"868","Obalno-kra<U+009A>ka",2008,"0-14 let",12814
"869","Obalno-kra<U+009A>ka",2008,"15-64 let",76476
"870","Obalno-kra<U+009A>ka",2008,"65 + let",18615
"871","Obalno-kra<U+009A>ka",2009,"0-14 let",13206
"872","Obalno-kra<U+009A>ka",2009,"15-64 let",76738
"873","Obalno-kra<U+009A>ka",2009,"65 + let",18834
"874","Obalno-kra<U+009A>ka",2010,"0-14 let",13616
"875","Obalno-kra<U+009A>ka",2010,"15-64 let",77939
"876","Obalno-kra<U+009A>ka",2010,"65 + let",18857
"877","Obalno-kra<U+009A>ka",2011,"0-14 let",13949
"878","Obalno-kra<U+009A>ka",2011,"15-64 let",78078
"879","Obalno-kra<U+009A>ka",2011,"65 + let",18733
"880","Obalno-kra<U+009A>ka",2012,"0-14 let",14278
"881","Obalno-kra<U+009A>ka",2012,"15-64 let",77977
"882","Obalno-kra<U+009A>ka",2012,"65 + let",19168
"883","Obalno-kra<U+009A>ka",2013,"0-14 let",14733
"884","Obalno-kra<U+009A>ka",2013,"15-64 let",77557
"885","Obalno-kra<U+009A>ka",2013,"65 + let",19646
"886","Obalno-kra<U+009A>ka",2014,"0-14 let",14947
"887","Obalno-kra<U+009A>ka",2014,"15-64 let",77458
"888","Obalno-kra<U+009A>ka",2014,"65 + let",20443
"889","Obalno-kra<U+009A>ka",2015,"0-14 let",15280
"890","Obalno-kra<U+009A>ka",2015,"15-64 let",76372
"891","Obalno-kra<U+009A>ka",2015,"65 + let",21121
"892","Obalno-kra<U+009A>ka",2016,"0-14 let",15517
"893","Obalno-kra<U+009A>ka",2016,"15-64 let",75612
"894","Obalno-kra<U+009A>ka",2016,"65 + let",21941
"895","Obalno-kra<U+009A>ka",2017,"0-14 let",15734
"896","Obalno-kra<U+009A>ka",2017,"15-64 let",75078
"897","Obalno-kra<U+009A>ka",2017,"65 + let",22705
